Antecedent,Consequent,Support,Confidence,Lift,Antecedent_decoded,Consequent_decoded
"(np.int64(4), np.int64(24), np.int64(138))","(np.int64(122),)",0.012424283214429937,0.5743621655258245,3.0161423112259493,"('American (Traditional)', 'Burgers', 'Pizza')","('Mexican',)"
"(np.int64(4), np.int64(24), np.int64(138))","(np.int64(18),)",0.01141472607349576,0.5276913503422527,3.010920922958982,"('American (Traditional)', 'Burgers', 'Pizza')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(18), np.int64(138))","(np.int64(122),)",0.011266657692825414,0.5728952772073922,3.0084392552298835,"('American (New)', 'Breakfast & Brunch', 'Pizza')","('Mexican',)"
"(np.int64(4), np.int64(104), np.int64(138))","(np.int64(18),)",0.011226275407188046,0.527180783817952,3.0080077135050423,"('American (Traditional)', 'Italian', 'Pizza')","('Breakfast & Brunch',)"
"(np.int64(4), np.int64(18), np.int64(151))","(np.int64(122),)",0.012101224929331,0.5722469764481222,3.005034839918781,"('American (Traditional)', 'Breakfast & Brunch', 'Sandwiches')","('Mexican',)"
"(np.int64(18), np.int64(138), np.int64(151))","(np.int64(3),)",0.010284022075649482,0.6939146230699365,2.999587882454648,"('Breakfast & Brunch', 'Pizza', 'Sandwiches')","('American (New)',)"
"(np.int64(4), np.int64(18), np.int64(104))","(np.int64(122),)",0.011778166644232063,0.5711488250652742,2.9992681285148244,"('American (Traditional)', 'Breakfast & Brunch', 'Italian')","('Mexican',)"
"(np.int64(3), np.int64(4), np.int64(104))","(np.int64(24),)",0.011953156548660655,0.42712842712842713,2.998334201206733,"('American (New)', 'American (Traditional)', 'Italian')","('Burgers',)"
"(np.int64(122), np.int64(138), np.int64(151))","(np.int64(3),)",0.01113205007403419,0.6926298157453936,2.9940340400166003,"('Mexican', 'Pizza', 'Sandwiches')","('American (New)',)"
"(np.int64(3), np.int64(4), np.int64(122))","(np.int64(138),)",0.015439493875353346,0.4856054191363252,2.993331114141852,"('American (New)', 'American (Traditional)', 'Mexican')","('Pizza',)"
